date,closed
1/6/2024,"1,282.02"
1/5/2024,"1,261.72"
1/4/2024,"1,209.52"
1/3/2024,"1,284.09"
1/2/2024,"1,252.73"
1/1/2024,"1,164.31"
1/12/2023,"1,129.93"
1/11/2023,"1,094.13"
1/10/2023,"1,028.19"
1/9/2023,"1,154.15"
1/8/2023,"1,224.05"
1/7/2023,"1,222.90"
1/6/2023,"1,120.18"
1/5/2023,"1,075.17"
1/4/2023,"1,049.12"
1/3/2023,"1,064.64"
1/2/2023,"1,024.68"
1/1/2023,"1,111.18"
1/12/2022,"1,007.09"
1/11/2022,"1,048.42"
1/10/2022,"1,027.94"
1/9/2022,"1,132.11"
1/8/2022,"1,280.51"
1/7/2022,"1,206.33"
1/6/2022,"1,197.60"
1/5/2022,"1,292.68"
1/4/2022,"1,366.80"
1/3/2022,"1,492.15"
1/2/2022,"1,490.13"
1/1/2022,"1,478.96"
1/12/2021,"1,498.28"
1/11/2021,"1,478.44"
1/10/2021,"1,444.27"
1/9/2021,"1,342.06"
1/8/2021,"1,331.47"
1/7/2021,"1,310.05"
1/6/2021,"1,408.55"
1/5/2021,"1,328.05"
1/4/2021,"1,239.39"
1/3/2021,"1,191.44"
1/2/2021,"1,168.47"
1/1/2021,"1,056.61"
1/12/2020,"1,103.87"
1/11/2020,"1,003.08"
1/10/2020,925.47
1/9/2020,905.21
1/8/2020,881.65
1/7/2020,798.39
1/6/2020,825.11
1/5/2020,864.47
1/4/2020,769.11
1/3/2020,662.53
1/2/2020,882.19
1/1/2020,936.62
1/12/2019,960.99
1/11/2019,970.75
1/10/2019,998.82
1/9/2019,996.56
1/8/2019,984.06
1/7/2019,991.66
1/6/2019,949.94
1/5/2019,959.88
1/4/2019,979.64
1/3/2019,980.76
1/2/2019,965.47
1/1/2019,910.65
1/12/2018,892.54
1/11/2018,926.54
1/10/2018,914.76
1/9/2018,"1,017.13"
1/8/2018,989.54
1/7/2018,956.39
1/6/2018,960.78
1/5/2018,971.25
1/4/2018,"1,050.26"
1/3/2018,"1,174.46"
1/2/2018,"1,121.54"
1/1/2018,"1,110.36"
1/12/2017,984.24
1/11/2017,949.93
1/10/2017,837.28
1/9/2017,804.42
1/8/2017,782.76
1/7/2017,783.55
1/6/2017,776.47
1/5/2017,737.82
1/4/2017,717.73
1/3/2017,722.31
1/2/2017,710.79
1/1/2017,697.28
1/12/2016,664.87
1/11/2016,665.07
1/10/2016,675.8
1/9/2016,685.73
1/8/2016,674.63
1/7/2016,652.23
1/6/2016,632.26
1/5/2016,618.44
1/4/2016,598.37
1/3/2016,561.22
1/2/2016,559.37
1/1/2016,545.25
1/12/2015,579.03
1/11/2015,573.2
1/10/2015,607.37
1/9/2015,562.64
1/8/2015,564.75
1/7/2015,621.06
1/6/2015,593.05
1/5/2015,569.56
1/4/2015,562.4
1/3/2015,551.13
1/2/2015,592.57
1/1/2015,576.07
1/12/2014,545.63
1/11/2014,566.58
1/10/2014,600.84
1/9/2014,598.8
1/8/2014,636.65
1/7/2014,596.07
1/6/2014,578.13
1/5/2014,562.02
1/4/2014,578
1/3/2014,591.57
1/2/2014,586.48
1/1/2014,556.52
