,Purchase Price,Sell Price,Date
0,71.200,74.100,2024-01-02
1,72.500,75.500,2024-01-03
2,72.500,75.500,2024-01-04
3,72.500,75.200,2024-01-05
4,72.500,75.200,2024-01-06
5,72.500,75.200,2024-01-08
6,71.500,74.200,2024-01-09
7,72.000,74.700,2024-01-10
8,72.000,74.450,2024-01-11
9,73.200,75.300,2024-01-12
10,74.000,76.500,2024-01-13
11,74.500,77.500,2024-01-15
12,74.500,76.700,2024-01-16
13,74.000,76.500,2024-01-17
14,73.600,76.000,2024-01-18
15,74.000,76.300,2024-01-19
16,74.300,76.900,2024-01-20
17,74.250,76.800,2024-01-22
18,73.500,76.000,2024-01-23
19,74.000,76.500,2024-01-24
20,73.500,76.000,2024-01-25
21,74.000,76.500,2024-01-26
22,74.400,76.800,2024-01-27
23,74.400,76.800,2024-01-29
24,74.400,76.800,2024-01-30
25,74.900,77.400,2024-01-31
26,75.400,77.900,2024-02-01
27,76.200,78.400,2024-02-02
28,76.400,78.700,2024-02-03
29,75.900,78.300,2024-02-05
30,76.200,78.400,2024-02-06
31,76.500,78.700,2024-02-07
32,76.700,78.900,2024-02-15
33,76.500,78.750,2024-02-16
34,76.600,78.800,2024-02-17
35,75.800,78.400,2024-02-18
36,75.800,78.400,2024-02-19
37,75.000,77.950,2024-02-20
38,76.250,78.400,2024-02-21
39,75.800,78.000,2024-02-22
40,76.500,78.700,2024-02-23
41,76.500,78.700,2024-02-24
42,76.500,78.700,2024-02-26
43,76.800,79.000,2024-02-27
44,77.000,78.950,2024-02-28
45,77.500,79.400,2024-02-29
46,77.600,79.500,2024-03-01
47,77.900,79.800,2024-03-02
48,77.900,80.400,2024-03-04
49,78.800,80.700,2024-03-05
50,78.800,80.800,2024-03-06
51,79.000,81.000,2024-03-07
52,79.850,81.800,2024-03-08
53,79.900,81.900,2024-03-09
54,79.800,82.200,2024-03-11
55,80.200,82.200,2024-03-12
56,79.900,81.900,2024-03-13
57,78.500,80.900,2024-03-14
58,79.500,81.500,2024-03-15
59,79.700,81.700,2024-03-16
60,79.400,81.400,2024-03-18
61,79.400,81.400,2024-03-19
62,79.500,81.500,2024-03-20
63,79.900,81.900,2024-03-21
64,78.600,80.650,2024-03-22
65,77.600,79.700,2024-03-23
66,78.000,80.300,2024-03-25
67,77.800,79.800,2024-03-26
68,78.000,80.100,2024-03-27
69,78.800,80.900,2024-03-28
70,79.500,81.500,2024-03-29
71,78.800,80.800,2024-03-30
72,78.200,80.600,2024-04-01
73,78.300,80.800,2024-04-02
74,79.500,81.500,2024-04-03
75,79.500,81.600,2024-04-04
76,79.000,81.100,2024-04-05
77,79.500,81.700,2024-04-06
78,79.500,81.900,2024-04-08
79,80.300,82.300,2024-04-09
80,81.900,84.700,2024-04-10
81,82.100,84.200,2024-04-11
82,82.300,84.400,2024-04-12
83,81.500,83.500,2024-04-13
84,80.600,83.100,2024-04-15
85,81.800,84.100,2024-04-16
86,81.700,83.700,2024-04-17
87,82.100,84.100,2024-04-19
88,81.800,83.800,2024-04-20
89,81.800,83.800,2024-04-22
90,80.700,82.900,2024-04-23
91,81.000,83.100,2024-04-24
92,82.300,84.300,2024-04-25
93,82.300,84.300,2024-04-26
94,83.000,85.200,2024-04-27
95,82.600,84.800,2024-05-02
96,82.800,84.900,2024-05-03
97,83.500,85.800,2024-05-04
98,83.500,85.900,2024-05-06
99,84.300,86.500,2024-05-07
100,85.100,87.400,2024-05-08
101,85.200,87.500,2024-05-09
102,87.200,89.500,2024-05-10
103,89.900,92.200,2024-05-11
104,87.000,89.700,2024-05-13
105,87.200,89.500,2024-05-14
106,86.500,89.000,2024-05-15
107,87.700,90.200,2024-05-16
108,87.300,89.800,2024-05-17
109,87.500,89.900,2024-05-18
110,87.700,90.400,2024-05-20
111,88.700,90.700,2024-05-21
112,88.600,90.600,2024-05-22
113,88.300,90.300,2024-05-23
114,87.500,89.500,2024-05-24
115,87.500,89.400,2024-05-25
116,87.500,89.400,2024-05-27
117,87.900,89.900,2024-05-28
118,88.600,90.400,2024-05-29
119,88.200,90.000,2024-05-30
120,86.000,88.400,2024-05-31
121,83.050,85.950,2024-06-01
122,80.950,82.750,2024-06-03
123,77.980,79.980,2024-06-04
124,77.480,78.980,2024-06-05
125,76.480,77.980,2024-06-06
126,74.980,76.980,2024-06-07
127,74.980,76.980,2024-06-08
128,74.980,76.980,2024-06-10
129,74.980,76.980,2024-06-11
130,74.980,76.980,2024-06-12
131,74.980,76.980,2024-06-13
132,74.980,76.980,2024-06-14
133,74.980,76.980,2024-06-15
134,74.980,76.980,2024-06-17
